dist plan_Interval
0.0379827 1.64986
0.1151 1.64996
1.20659 1.54993
2.73085 1.55014
3.86375 0.700041
4.49572 0.600004
5.16018 0.500097
5.21703 0.450115
5.25902 0.600074
5.29913 0.750029
5.32888 0.650026
5.36516 0.6
5.39179 0.749987
5.99299 0.650025
6.14675 0.749991
7.05193 0.349891
7.46694 0.650059
8.42434 0.850016
9.43353 1.10026
10.5088 1.14997
11.5082 1.19999
12.4786 3.15
13.6025 0.0999751
13.8175 0.149871
14.8066 0.200003
15.3578 0.299885
16.3112 0.349944
17.3561 0.249943
18.4214 0.0999977
19.7452 0.149769
20.6772 0.200057
21.7074 0.200085
21.9394 0.350054
23.0364 0.350011
24.0161 0.350083
24.2251 0.499931
25.1867 0.499914
26.2185 0.449983
27.2239 0.549978
28.2134 0.549988
29.3392 0.3501
30.4455 0.550116
31.5108 0.549966
32.5341 0.300092
33.469 0.349991
34.6192 0.349932
35.6398 0.349762
36.4448 0.250074
37.3019 1.00012
38.5641 0.750156
39.4184 0.850102
40.4828 0.850001
41.6288 0.999764
42.446 0.800089
43.2945 0.650039
43.5975 0.35006
44.483 0.450011
45.7147 0.350078
46.5804 0.349832
47.5095 0.35005
48.7091 0.350022
49.9659 0.350015
51.312 0.400061
52.3702 0.449955
53.3482 0.350066
54.526 0.249989
55.5062 0.350033
56.7458 0.399998
57.7477 0.500002
58.7139 0.599982
58.9622 0.549803
59.9192 0.600236
60.9095 0.450005
61.115 0.299996
61.1571 0.249957
61.1823 0.350091
61.2039 0.349963
61.2261 0.450163
61.2498 0.450101
61.2718 0.54999
61.2913 0.350037
61.3131 0.3502
61.3323 0.449942
61.356 0.450008
62.6646 0.400072
63.6755 0.400043
64.6449 0.450015
65.6121 0.450101
66.5586 0.499781
67.4575 0.599998
68.3031 0.350101
69.1508 0.450061
69.96 0.449936
70.7243 0.350039
71.4602 0.449993
72.1734 0.599916
73.0676 0.700059
73.8255 0.799955
74.513 0.949905
75.1801 0.899991
75.8707 1.05009
76.5583 0.900099
77.2517 1.04997
78.0067 3.99986
78.709 1.55007
79.5692 4.70009
80.4839 0.200007
80.8828 0.250032
81.8019 0.350007
82.6665 0.449768
83.6695 0.449912
84.9605 0.349956
85.9444 0.449932
86.3348 0.450014
87.5134 0.600085
88.5244 0.399993
88.9699 0.349988
89.9858 0.44988
90.9266 0.550041
91.3335 0.650174
92.2794 0.699891
93.2591 0.499973
94.2637 1.44993
95.2896 3.0502
96.1814 0.449914
97.1373 0.550053
98.087 0.599964
99.3636 0.550013
100.368 0.699988
100.97 0.750005
101.87 0.799996
102.765 0.549803
103.774 0.75004
104.571 0.750056
105.435 0.900035
106.305 1.09994
107.163 1.30011
107.749 5.2501
107.809 0.149909
108.793 0.250036
109.566 0.349842
110.712 0.500089
111.664 1.70002
112.305 0.3501
113.228 0.350161
114.215 0.499885
115.271 0.250088
116.324 0.250048
117.361 0.349983
118.509 0.500091
119.339 0.599943
119.631 2.65013
120.584 0.900224
121.627 0.949964
122.785 1.05016
123.787 1.14996
124.833 8.44992
125.875 6.2001e-05
126.539 5.5351e-05
127.213 5.4602e-05
127.693 0.0501485
128.652 0.0500294
129.828 0.150124
130.881 0.250065
131.957 0.349906
133.212 0.449984
134.291 0.599782
135.408 0.550049
136.189 1.44994
137.077 0.850184
137.312 0.649982
138.305 0.799829
139.579 0.699997
139.957 0.349888
139.983 0.349994
140.003 0.69997
140.031 0.799888
140.057 0.600038
140.078 0.750016
140.111 0.750091
140.138 0.749994
140.319 0.84998
141.383 1.04994
142.1 1.2
142.848 1.19985
143.714 0.550012
144.102 1.14988
144.897 1.14994
145.933 1.5
147.2 1.39987
148.247 7.09981
149.279 0.700173
149.889 0.599982
150.813 0.949978
151.761 0.899912
153.027 0.950002
153.977 0.999949
154.492 0.849935
155.114 1.05019
155.485 1.05001
156.402 0.949844
157.299 1.14978
158.213 1.05005
159.11 1.35002
160.473 13
162.694 0.0499466
163.662 3.1263e-05
163.997 0.0499489
165.262 3.1781e-05
166.358 0.049908
167.686 5.3501e-05
168.527 0.0499953
169.895 5.2329e-05
170.38 0.0500399
171.526 5.2993e-05
172.716 2.9698e-05
173.091 0.0499737
173.985 0.0498611
174.965 6.1019e-05
175.931 0.0498587
176.867 5.735e-05
177.757 7.1185e-05
178.649 0.150082
179.501 0.249997
180.412 0.450014
181.018 0.500023
181.391 0.699958
182.243 3.35009
183.025 0.650098
183.884 0.649946
185.102 2.59994
186.494 0.0501339
186.996 0.0500189
187.766 2.7275e-05
188.498 0.0500517
189.573 0.15001
190.621 0.249966
191.531 0.350001
192.61 0.499958
193.55 0.599933
194.529 0.69998
194.919 0.800096
195.896 0.950009
196.963 0.99997
197.983 1.15012
198.961 1.14994
199.86 1.34999
200.919 1.70009
201.877 0.149976
202.802 0.150058
203.602 0.250004
204.24 0.349853
205.161 0.450007
206.478 0.599987
207.331 0.699991
208.469 0.699912
209.607 0.8
213.14 1.05006
214.945 1.15003
215.523 3.35011
217.94 0.049917
220.085 7.04996
222.191 0.050135
222.709 0.0499851
223.45 0.149985
223.964 0.250055
224.538 0.300151
225.636 0.450031
226.485 0.549978
227.355 1.1001
228.223 0.699987
229.012 0.69988
229.998 0.750027
230.942 0.949821
231.061 1.69992
231.157 1.00004
231.265 1.25007
232.353 1.0999
233.021 1.15011
233.42 1.25005
234.471 1.34997
236.071 5.70029
237.434 0.24984
238.207 0.349896
238.472 0.449951
239.366 2.95007
240.657 3.6596e-05
